ID,DATE,AMOUNT,ACCOUNT_ID
1,05/26,53.22,3
2,09/13,0.65,19
3,09/04,89.42,18
4,08/23,53.26,5
5,12/06,24.13,19
6,07/17,44.17,14
7,05/08,-16.79,8
8,02/04,17.82,8
9,06/29,48.25,2
10,06/24,-20.94,9
11,10/15,-64.11,2
12,03/29,-85.98,19
13,12/25,73.24,7
14,03/17,-16.2,1
15,07/17,-24.81,19
16,12/06,32.31,9
17,02/17,24.02,17
18,05/05,-96.7,16
19,02/28,-88.05,16
20,07/29,-83.86,15
21,05/19,73.39,16
22,10/15,38.79,13
23,12/22,14.22,3
24,03/30,94.23,15
25,04/30,-87.94,11
26,12/21,63.09,7
27,06/04,-67.19,7
28,03/07,-2.65,11
29,07/07,40.99,18
30,08/18,-85.5,12
31,09/25,-50.88,11
32,08/09,-0.12,13
33,04/04,-97.9,19
34,04/21,87.03,8
35,01/19,18.38,19
36,04/11,41.59,18
37,10/03,-50.66,20
38,09/12,-32.34,15
39,10/13,70.51,12
40,06/17,15.46,2
41,04/29,54.03,4
42,09/18,-95.69,17
43,04/05,24.7,11
44,08/22,61.74,2
45,06/23,-32.84,18
46,05/18,-71.54,16
47,10/10,65.19,9
48,08/09,-53.72,15
49,03/11,-22.02,11
50,12/30,95.76,8
51,01/09,-7.85,3
52,11/06,-43.09,11
53,03/14,94.08,2
54,04/03,-70.63,3
55,12/03,80.15,14
56,09/12,64.14,13
57,05/27,47.0,14
58,10/24,-57.45,2
59,08/08,-47.63,10
60,03/21,25.0,16
61,05/02,16.83,3
62,05/22,-73.13,18
63,03/25,-43.81,20
64,05/17,-40.18,12
65,08/12,-36.99,16
66,05/16,55.04,18
67,10/14,-95.62,5
68,01/11,-77.08,3
69,01/17,51.43,11
70,09/23,88.31,3
71,09/29,-7.58,18
72,04/13,40.62,8
73,04/05,-89.82,18
74,06/16,-93.8,11
75,12/16,-24.71,14
76,11/04,-82.27,3
77,02/08,94.25,16
78,10/03,49.15,11
79,06/10,-66.8,8
80,10/25,62.32,12
81,08/13,24.16,1
82,01/09,29.32,11
83,10/29,-28.76,2
84,11/13,-60.81,3
85,11/12,94.42,1
86,08/01,-6.34,6
87,02/07,-83.79,9
88,08/27,-40.69,20
89,11/24,46.05,20
90,03/24,33.32,8
91,11/23,74.53,9
92,01/22,-3.42,15
93,03/24,20.57,15
94,01/09,-56.5,6
95,06/11,85.37,16
96,06/16,-28.33,6
97,04/04,21.56,5
98,12/31,-0.77,14
99,12/03,-88.17,5
100,05/11,66.44,19
101,12/16,14.36,14
102,10/15,36.25,17
103,10/28,-21.32,13
104,09/10,-89.62,1
105,10/12,-58.31,18
106,04/17,13.83,10
107,10/21,57.75,2
108,11/18,-30.06,7
109,10/24,78.88,11
110,03/28,43.53,14
111,07/29,-15.97,19
112,11/02,-12.64,1
113,03/25,-49.73,15
114,06/26,-6.92,17
115,12/18,-84.64,11
116,11/06,1.36,1
117,04/27,-15.22,12
118,02/02,34.09,17
119,09/17,25.56,5
120,07/11,15.22,4
121,06/11,-26.48,10
122,10/17,15.04,12
123,05/04,-77.54,12
124,10/15,59.87,20
125,12/31,27.87,2
126,11/10,-53.63,12
127,02/13,-58.49,12
128,01/09,-11.19,18
129,02/24,-96.19,14
130,09/14,-1.28,11
131,05/08,14.48,19
132,10/02,-69.33,8
133,04/12,-30.02,7
134,11/28,33.79,19
135,06/19,-33.94,4
136,05/14,-62.45,9
137,09/07,-25.21,7
138,09/06,-73.1,11
139,11/03,-91.16,5
140,03/30,71.53,1
141,02/24,12.34,6
142,11/18,-50.59,3
143,03/26,54.26,9
144,12/07,-81.89,20
145,05/02,3.93,13
146,08/18,-34.29,13
147,05/11,1.92,16
148,06/13,67.61,3
149,01/05,42.22,11
150,06/12,38.59,5
151,05/12,-89.39,2
152,06/04,49.6,17
153,06/19,42.45,5
154,02/09,-40.31,4
155,08/03,18.25,15
156,02/25,24.91,2
157,04/28,91.31,14
158,08/12,99.25,2
159,10/18,76.26,4
160,05/13,-97.78,18
161,02/21,-16.44,14
162,08/18,17.23,13
163,12/04,80.35,20
164,02/10,-52.74,12
165,09/19,-40.13,10
166,12/06,-14.86,6
167,06/19,-87.87,20
168,01/29,-72.85,6
169,08/03,-56.78,6
170,12/03,-72.88,15
171,03/13,-43.33,14
172,11/30,-67.8,15
173,07/01,-32.95,15
174,05/01,-9.57,15
175,11/21,59.63,12
176,01/25,62.9,20
177,06/18,86.91,10
178,06/09,34.56,2
179,06/14,-94.42,8
180,06/03,-6.47,3
181,04/22,22.33,18
182,07/02,-24.04,7
183,12/12,-18.22,5
184,03/17,73.84,4
185,03/10,-57.78,12
186,05/14,-66.71,17
187,11/26,20.65,15
188,11/19,-87.14,17
189,01/08,14.32,8
190,02/08,71.67,3
191,08/16,69.36,19
192,04/24,-72.89,4
193,12/15,39.51,9
194,06/27,57.29,20
195,06/14,62.77,5
196,08/06,34.11,2
197,04/16,-76.45,8
198,08/31,-8.72,7
199,08/16,84.2,8
200,11/10,-5.33,12
201,07/24,-45.03,18
202,11/18,86.44,6
203,11/07,-66.29,1
204,12/25,-68.27,5
205,03/27,2.3,9
206,07/15,59.63,13
207,11/18,-97.53,12
208,07/20,-56.76,19
209,03/05,77.35,18
210,08/16,55.4,2
211,01/19,-83.07,10
212,01/09,85.6,3
213,05/14,-41.23,4
214,06/20,-83.49,14
215,10/05,-92.38,8
216,05/23,-70.4,16
217,06/03,95.35,15
218,01/28,15.74,11
219,12/05,15.04,3
220,11/17,62.29,17
221,02/12,-90.27,2
222,06/23,-38.13,8
223,12/29,54.81,10
224,02/05,22.57,9
225,04/29,44.57,20
226,05/26,9.57,3
227,12/23,17.72,5
228,09/11,-3.58,6
229,06/14,85.54,17
230,02/10,-53.71,19
231,07/24,11.99,8
232,08/11,73.81,12
233,04/09,-77.23,14
234,09/07,54.59,7
235,11/15,60.8,14
236,12/26,-69.17,2
237,03/28,64.14,16
238,12/11,36.08,18
239,01/23,13.01,9
240,08/30,-75.87,7
241,04/18,64.59,10
242,09/28,-74.74,5
243,02/25,29.78,14
244,03/04,-88.25,20
245,03/04,60.67,13
246,04/24,0.98,9
247,05/09,-6.95,2
248,01/15,94.2,15
249,06/06,-89.33,7
250,05/18,-95.5,11
251,04/10,84.68,15
252,04/27,-18.54,2
253,04/29,1.02,16
254,05/09,53.03,13
255,04/06,-1.01,16
256,03/21,33.77,2
257,03/28,94.29,4
258,07/31,6.49,3
259,02/21,49.33,7
260,12/10,91.47,17
261,11/03,-80.03,7
262,01/23,-28.08,20
263,08/31,1.88,7
264,08/04,-56.43,6
265,07/17,55.35,14
266,01/29,-99.63,7
267,02/05,-58.72,13
268,11/15,96.5,11
269,05/04,-98.85,16
270,06/23,86.01,5
271,02/21,74.83,5
272,05/22,57.51,20
273,05/15,26.0,11
274,11/08,-27.9,16
275,06/26,-91.66,15
276,06/25,87.85,17
277,05/08,40.42,19
278,03/13,82.74,3
279,11/05,-1.29,17
280,09/10,70.87,11
281,09/24,3.31,2
282,05/21,-70.45,20
283,11/17,-93.82,2
284,10/03,17.88,7
285,02/06,38.45,8
286,10/17,27.48,10
287,09/23,30.4,11
288,07/28,26.86,5
289,04/20,50.74,17
290,10/17,93.0,18
291,10/05,-3.2,15
292,07/20,29.24,2
293,04/17,75.47,17
294,06/09,-13.47,11
295,02/16,29.78,6
296,09/25,-46.93,16
297,05/04,-42.01,8
298,06/12,67.83,14
299,02/13,82.7,16
300,05/31,38.38,2
301,01/25,-68.59,2
302,12/08,-46.91,15
303,03/27,92.6,11
304,12/13,-80.52,8
305,01/09,-49.52,6
306,02/24,-47.8,13
307,08/24,2.89,6
308,08/06,59.3,10
309,05/29,-86.84,8
310,04/26,31.62,10
311,05/25,1.14,17
312,07/27,-59.18,12
313,08/09,-94.5,20
314,11/16,-31.81,14
